ms,st_sones,st_phons,lt_sones,lt_phons
942,12.86,77.4,16.21,80.8
943,12.84,77.4,16.19,80.8
944,12.82,77.4,16.18,80.8
945,12.79,77.3,16.16,80.8
946,12.79,77.3,16.14,80.8
947,12.83,77.4,16.13,80.8
948,12.85,77.4,16.11,80.8
949,12.89,77.4,16.09,80.7
950,12.94,77.5,16.08,80.7
951,12.97,77.5,16.06,80.7
952,13.1,77.7,16.05,80.7
953,13.09,77.7,16.03,80.7
954,13.09,77.7,16.02,80.7
955,13.07,77.6,16,80.7
956,13.05,77.6,15.99,80.6
957,13.04,77.6,15.97,80.6
958,13.07,77.7,15.96,80.6
959,13.19,77.8,15.95,80.6
960,13.3,77.9,15.93,80.6
961,13.45,78.1,15.92,80.6
962,13.45,78.1,15.91,80.6
963,13.52,78.2,15.9,80.6
964,13.57,78.2,15.88,80.6
965,13.6,78.2,15.87,80.5
966,13.61,78.3,15.86,80.5
967,13.68,78.3,15.85,80.5
968,13.71,78.4,15.84,80.5
969,13.76,78.4,15.83,80.5
970,13.74,78.4,15.82,80.5
971,13.71,78.4,15.81,80.5
972,13.68,78.3,15.8,80.5
973,13.67,78.3,15.79,80.5
974,13.73,78.4,15.78,80.5
975,13.74,78.4,15.77,80.4
976,13.77,78.4,15.76,80.4
977,13.76,78.4,15.75,80.4
978,13.74,78.4,15.74,80.4
979,13.71,78.4,15.73,80.4
980,13.7,78.4,15.72,80.4
981,13.73,78.4,15.71,80.4
982,13.72,78.4,15.7,80.4
983,13.72,78.4,15.69,80.4
984,13.71,78.4,15.68,80.4
985,13.69,78.3,15.67,80.4
986,13.68,78.3,15.66,80.3
987,13.7,78.4,15.65,80.3
988,13.7,78.4,15.64,80.3
989,13.68,78.3,15.63,80.3
990,13.67,78.3,15.62,80.3
991,13.67,78.3,15.61,80.3
992,13.63,78.3,15.6,80.3
993,13.6,78.2,15.59,80.3
994,13.56,78.2,15.58,80.3
995,13.54,78.2,15.57,80.3
996,13.5,78.1,15.56,80.3
997,13.47,78.1,15.55,80.2
998,13.47,78.1,15.54,80.2
999,13.44,78.1,15.53,80.2
1000,13.41,78,15.52,80.2
1001,13.39,78,15.51,80.2
1002,13.39,78,15.49,80.2
1003,13.4,78,15.48,80.2
1004,13.39,78,15.47,80.2
1005,13.39,78,15.46,80.2
1006,13.38,78,15.45,80.2
1007,13.37,78,15.44,80.1
1008,13.36,78,15.43,80.1
1009,13.36,78,15.42,80.1
1010,13.32,77.9,15.41,80.1
1011,13.29,77.9,15.4,80.1
1012,13.3,77.9,15.39,80.1
1013,13.33,77.9,15.38,80.1
1014,13.29,77.9,15.37,80.1
1015,13.24,77.8,15.36,80.1
1016,13.19,77.8,15.35,80.1
1017,13.15,77.7,15.34,80
1018,13.13,77.7,15.33,80
1019,13.11,77.7,15.31,80
1020,13.09,77.7,15.3,80
1021,13.06,77.6,15.29,80
1022,13.05,77.6,15.28,80
1023,13.07,77.6,15.27,80
1024,13.13,77.7,15.26,80
1025,13.13,77.7,15.25,80
1026,13.11,77.7,15.24,80
1027,13.13,77.7,15.23,79.9
1028,13.15,77.7,15.22,79.9
1029,13.19,77.8,15.21,79.9
1030,13.18,77.8,15.2,79.9
1031,13.13,77.7,15.19,79.9
1032,13.11,77.7,15.18,79.9
1033,13.09,77.7,15.17,79.9
1034,13.09,77.7,15.16,79.9
1035,13.08,77.7,15.15,79.9
1036,13.09,77.7,15.13,79.9
1037,13.12,77.7,15.12,79.8
1038,13.15,77.7,15.11,79.8
1039,13.14,77.7,15.1,79.8
1040,13.14,77.7,15.1,79.8
1041,13.13,77.7,15.09,79.8
1042,13.09,77.7,15.08,79.8
1043,13.07,77.6,15.07,79.8
1044,13.04,77.6,15.06,79.8
1045,13.02,77.6,15.05,79.8
1046,12.99,77.6,15.03,79.8
1047,12.97,77.5,15.02,79.7
1048,12.94,77.5,15.01,79.7
1049,12.89,77.4,15,79.7
1050,12.88,77.4,14.99,79.7
1051,12.87,77.4,14.98,79.7
1052,12.85,77.4,14.97,79.7
1053,12.85,77.4,14.96,79.7
1054,12.85,77.4,14.95,79.7
1055,12.82,77.4,14.94,79.7
1056,12.82,77.4,14.93,79.6
1057,12.78,77.3,14.92,79.6
1058,12.77,77.3,14.91,79.6
1059,12.73,77.3,14.9,79.6
1060,12.69,77.2,14.89,79.6
1061,12.66,77.2,14.87,79.6
1062,12.64,77.1,14.86,79.6
1063,12.62,77.1,14.85,79.6
1064,12.62,77.1,14.84,79.6
1065,12.6,77.1,14.83,79.5
1066,12.59,77.1,14.82,79.5
1067,12.62,77.1,14.81,79.5
1068,12.62,77.1,14.8,79.5
1069,12.59,77.1,14.79,79.5
1070,12.57,77.1,14.77,79.5
1071,12.55,77,14.76,79.5
1072,12.52,77,14.75,79.5
1073,12.48,77,14.74,79.5
1074,12.42,76.9,14.73,79.4
1075,12.38,76.8,14.72,79.4
1076,12.35,76.8,14.71,79.4
1077,12.32,76.8,14.69,79.4
1078,12.27,76.7,14.68,79.4
1079,12.2,76.6,14.67,79.4
1080,12.14,76.5,14.66,79.4
1081,12.11,76.5,14.64,79.4
1082,12.07,76.5,14.63,79.3
1083,12.05,76.4,14.62,79.3
1084,12.01,76.4,14.6,79.3
1085,11.96,76.3,14.59,79.3
1086,11.92,76.3,14.58,79.3
1087,11.88,76.2,14.56,79.3
1088,11.82,76.1,14.55,79.3
1089,11.77,76.1,14.54,79.2
1090,11.71,76,14.52,79.2
1091,11.67,75.9,14.51,79.2
1092,11.65,75.9,14.49,79.2
1093,11.61,75.9,14.48,79.2
1094,11.56,75.8,14.47,79.2
1095,11.53,75.8,14.45,79.2
1096,11.49,75.7,14.44,79.1
1097,11.47,75.7,14.42,79.1
1098,11.44,75.6,14.41,79.1
1099,11.39,75.6,14.39,79.1
1100,11.34,75.5,14.38,79.1
1101,11.29,75.4,14.36,79.1
1102,11.25,75.4,14.34,79
1103,11.19,75.3,14.33,79
1104,11.1,75.2,14.31,79
1105,11.02,75.1,14.3,79
1106,10.96,75,14.28,79
1107,10.9,74.9,14.26,79
1108,10.84,74.8,14.25,78.9
1109,10.8,74.8,14.23,78.9
1110,10.77,74.7,14.21,78.9
1111,10.73,74.7,14.19,78.9
1112,10.68,74.6,14.18,78.9
1113,10.64,74.5,14.16,78.9
1114,10.62,74.5,14.14,78.8
1115,10.6,74.5,14.12,78.8
1116,10.58,74.5,14.11,78.8
1117,10.54,74.4,14.09,78.8
1118,10.49,74.3,14.07,78.8
1119,10.44,74.3,14.05,78.7
1120,10.38,74.2,14.03,78.7
1121,10.32,74.1,14.01,78.7
1122,10.26,74,14,78.7
1123,10.2,73.9,13.98,78.7
1124,10.15,73.8,13.96,78.6
1125,10.09,73.7,13.94,78.6
1126,10.03,73.6,13.92,78.6
1127,9.98,73.6,13.9,78.6
1128,9.93,73.5,13.88,78.6
1129,9.87,73.4,13.86,78.5
1130,9.79,73.3,13.84,78.5
1131,9.72,73.2,13.82,78.5
1132,9.65,73,13.8,78.5
1133,9.59,73,13.78,78.4
1134,9.52,72.8,13.76,78.4
1135,9.47,72.8,13.73,78.4
1136,9.4,72.6,13.71,78.4
1137,9.32,72.5,13.69,78.3
1138,9.25,72.4,13.67,78.3
1139,9.18,72.3,13.65,78.3
1140,9.11,72.2,13.62,78.3
1141,9.02,72,13.6,78.2
1142,8.92,71.8,13.58,78.2
1143,8.84,71.7,13.55,78.2
1144,8.76,71.6,13.53,78.2
1145,8.68,71.4,13.5,78.1
1146,8.6,71.3,13.48,78.1
1147,8.52,71.1,13.46,78.1
1148,8.43,71,13.43,78.1
1149,8.34,70.8,13.4,78
1150,8.25,70.6,13.38,78
1151,8.17,70.5,13.35,78
1152,8.07,70.3,13.33,77.9
1153,7.99,70.2,13.3,77.9
1154,7.9,70,13.27,77.9
1155,7.82,69.8,13.25,77.8
1156,7.73,69.6,13.22,77.8
1157,7.63,69.4,13.19,77.8
1158,7.54,69.3,13.16,77.8
1159,7.45,69.1,13.13,77.7
1160,7.36,68.9,13.1,77.7
1161,7.27,68.7,13.08,77.7
1162,7.19,68.5,13.05,77.6
1163,7.11,68.4,13.02,77.6
1164,7.03,68.2,12.99,77.6
1165,6.94,68,12.96,77.5
1166,6.84,67.8,12.93,77.5
1167,6.75,67.6,12.89,77.4
1168,6.66,67.4,12.86,77.4
1169,6.57,67.1,12.83,77.4
1170,6.47,66.9,12.8,77.3
1171,6.38,66.7,12.77,77.3
1172,6.29,66.5,12.74,77.3
1173,6.2,66.2,12.7,77.2
1174,6.12,66,12.67,77.2
1175,6.04,65.8,12.64,77.1
1176,5.97,65.7,12.6,77.1
1177,5.89,65.5,12.57,77.1
1178,5.82,65.3,12.54,77
1179,5.77,65.1,12.5,77
1180,5.85,65.3,12.47,76.9
